Category,City,Country,Customer ID,Customer Name,Sum of Discount,Order Date,Order ID,Count of Postal Code,Product ID,Product Name,Sum of Profit,Sum of Quantity,Region,Count of Row ID,Sum of Sales,Segment,Ship Mode,State,Sub-Category,Year,Quarter,Month,Day
Furniture,Akron,United States,EB-13705,Ed Braxton,0.4,2017-10-20 00:00:00,CA-2017-147277,1,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,-75.8304,2,East,1,284.364,Corporate,Standard Class,Ohio,Tables,2017,Qtr 4,October,24
Furniture,Akron,United States,TT-21070,Ted Trevino,0.2,2014-05-18 00:00:00,CA-2014-164224,1,FUR-FU-10000308,Deflect-o Glass Clear Studded Chair Mats,3.7308,3,East,1,149.232,Consumer,Second Class,Ohio,Furnishings,2014,Qtr 2,May,20
Furniture,Alexandria,United States,AG-10495,Andrew Gjertsen,0,2015-01-04 00:00:00,CA-2015-104241,1,FUR-FU-10001473,DAX Wood Document Frame,69.1992,14,South,1,192.22,Corporate,Standard Class,Virginia,Furnishings,2015,Qtr 1,January,9
Furniture,Alexandria,United States,SD-20485,Shirley Daniels,0,2014-01-26 00:00:00,US-2014-155502,1,FUR-FU-10001847,Eldon Image Series Black Desk Accessories,4.4712,3,South,1,12.42,Home Office,Standard Class,Virginia,Furnishings,2014,Qtr 1,January,31
Furniture,Alexandria,United States,SD-20485,Shirley Daniels,0,2014-01-26 00:00:00,US-2014-155502,1,FUR-FU-10004587,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",30.7818,3,South,1,62.82,Home Office,Standard Class,Virginia,Furnishings,2014,Qtr 1,January,31
Furniture,Allen,United States,AG-10675,Anna Gayman,0.3,2015-05-07 00:00:00,CA-2015-137512,1,FUR-TA-10001095,Chromcraft Round Conference Tables,-31.3722,2,Central,1,244.006,Consumer,Standard Class,Texas,Tables,2015,Qtr 2,May,12
Furniture,Allentown,United States,CJ-12010,Caroline Jumper,0.2,2016-07-22 00:00:00,CA-2016-122392,1,FUR-FU-10002456,"Master Caster Door Stop, Large Neon Orange",3.3488,2,East,1,11.648,Consumer,Standard Class,Pennsylvania,Furnishings,2016,Qtr 3,July,27
Furniture,Amarillo,United States,DS-13180,David Smith,0.32,2017-03-31 00:00:00,CA-2017-154907,1,FUR-BO-10002824,Bush Mission Pointe Library,-36.2352,2,Central,1,205.3328,Corporate,Standard Class,Texas,Bookcases,2017,Qtr 2,April,4
Furniture,Amarillo,United States,JE-15745,Joel Eaton,0.3,2015-10-15 00:00:00,CA-2015-139731,1,FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,-350.49,5,Central,1,2453.43,Consumer,Same Day,Texas,Chairs,2015,Qtr 4,October,15
Furniture,Amarillo,United States,NM-18520,Neoma Murray,0.6,2016-01-07 00:00:00,CA-2016-158806,1,FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",-10.9611,3,Central,1,23.076,Consumer,Standard Class,Texas,Furnishings,2016,Qtr 1,January,11
Furniture,Amarillo,United States,NR-18550,Nick Radford,0.3,2016-05-02 00:00:00,CA-2016-109400,1,FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",-110.0232,4,Central,1,366.744,Consumer,Standard Class,Texas,Chairs,2016,Qtr 2,May,6
Furniture,Anaheim,United States,BP-11185,Ben Peterman,0,2017-12-29 00:00:00,CA-2017-146626,1,FUR-FU-10002501,Nu-Dell Executive Frame,37.4144,8,West,1,101.12,Corporate,Standard Class,California,Furnishings,2018,Qtr 1,January,5
Furniture,Anaheim,United States,EB-13705,Ed Braxton,0.2,2016-06-14 00:00:00,CA-2016-128223,1,FUR-TA-10001771,"Bush Cubix Conference Tables, Fully Assembled",80.843,7,West,1,1293.488,Corporate,Same Day,California,Tables,2016,Qtr 2,June,14
Furniture,Anaheim,United States,KD-16615,Ken Dana,0.2,2015-09-13 00:00:00,US-2015-129007,1,FUR-CH-10000155,Global Comet Stacking Armless Chair,71.772,3,West,1,717.72,Corporate,First Class,California,Chairs,2015,Qtr 3,September,15
Furniture,Anaheim,United States,KD-16615,Ken Dana,0,2015-09-13 00:00:00,US-2015-129007,1,FUR-FU-10002379,Eldon Econocleat Chair Mats for Low Pile Carpets,24.882,5,West,1,207.35,Corporate,First Class,California,Furnishings,2015,Qtr 3,September,15
Furniture,Anaheim,United States,KD-16615,Ken Dana,0,2015-09-13 00:00:00,US-2015-129007,1,FUR-FU-10004018,Tensor Computer Mounted Lamp,12.0609,3,West,1,44.67,Corporate,First Class,California,Furnishings,2015,Qtr 3,September,15
